ID,File,Book,Chapter,Set,Set item,Printed question number,Question PDF page,Answer PDF page,Reading PDF pages,Printed marked option position (1-based),Scoring status
b1-c1-s1-q01,Copy of Book 1.pdf,1,1,1,1,1,46,216,13–14,1,marked
b1-c1-s1-q02,Copy of Book 1.pdf,1,1,1,2,2,46,216,13–14,2,marked
b1-c1-s1-q03,Copy of Book 1.pdf,1,1,1,3,3,47,217,13–14,3,marked
b1-c1-s1-q04,Copy of Book 1.pdf,1,1,1,4,4,47,217,13–14,4,marked
b1-c1-s1-q05,Copy of Book 1.pdf,1,1,1,5,5,47,217,13–14,5,disputed
b1-c1-s1-q06,Copy of Book 1.pdf,1,1,1,6,6,47,217,13–14,5,marked
b1-c1-s1-q07,Copy of Book 1.pdf,1,1,1,7,7,47,217,13–14,2,marked
b1-c1-s1-q08,Copy of Book 1.pdf,1,1,1,8,8,48,218,13–14,1,marked
b1-c1-s1-q09,Copy of Book 1.pdf,1,1,1,9,9,48,218,13–14,3,marked
b1-c1-s1-q10,Copy of Book 1.pdf,1,1,1,10,10,48,218,13–14,4,marked
b1-c1-s1-q11,Copy of Book 1.pdf,1,1,1,11,11,48,218,13–14,5,marked
b1-c1-s1-q12,Copy of Book 1.pdf,1,1,1,12,12,49,219,13–14,2,marked
b1-c1-s1-q13,Copy of Book 1.pdf,1,1,1,13,13,49,219,13–14,1,marked
b1-c1-s1-q14,Copy of Book 1.pdf,1,1,1,14,14,49,219,13–14,2,marked
b1-c1-s1-q15,Copy of Book 1.pdf,1,1,1,15,15,49,219,13–14,4,marked
b1-c1-s1-q16,Copy of Book 1.pdf,1,1,1,16,16,50,220,13–14,5,marked
b1-c1-s1-q17,Copy of Book 1.pdf,1,1,1,17,17,50,220,13–14,1,marked
b1-c1-s1-q18,Copy of Book 1.pdf,1,1,1,18,18,50,220,13–14,3,marked
b1-c1-s1-q19,Copy of Book 1.pdf,1,1,1,19,19,50,220,13–14,4,marked
b1-c1-s1-q20,Copy of Book 1.pdf,1,1,1,20,20,50,220,13–14,5,marked
b1-c1-s1-q21,Copy of Book 1.pdf,1,1,1,21,21,51,221,13–14,1,marked
b1-c1-s1-q22,Copy of Book 1.pdf,1,1,1,22,22,51,221,13–14,5,marked
b1-c1-s1-q23,Copy of Book 1.pdf,1,1,1,23,23,51,221,13–14,2,marked
b1-c1-s1-q24,Copy of Book 1.pdf,1,1,1,24,24,51,221,13–14,2,marked
b1-c1-s1-q25,Copy of Book 1.pdf,1,1,1,25,25,52,222,13–14,1,marked
b1-c1-s1-q26,Copy of Book 1.pdf,1,1,1,26,26,52,222,13–14,3,marked
b1-c1-s1-q27,Copy of Book 1.pdf,1,1,1,27,27,52,222,13–14,4,marked
b1-c1-s1-q28,Copy of Book 1.pdf,1,1,1,28,28,52,222,13–14,2,marked
b1-c1-s1-q29,Copy of Book 1.pdf,1,1,1,29,29,52,222,13–14,2,marked
b1-c1-s1-q30,Copy of Book 1.pdf,1,1,1,30,30,53,223,13–14,4,marked
b1-c1-s2-q01,Copy of Book 1.pdf,1,1,2,1,1,54,224,14–15,1,marked
b1-c1-s2-q02,Copy of Book 1.pdf,1,1,2,2,2,54,224,14–15,2,marked
b1-c1-s2-q03,Copy of Book 1.pdf,1,1,2,3,3,54,224,14–15,3,marked
b1-c1-s2-q04,Copy of Book 1.pdf,1,1,2,4,4,54,224,14–15,4,marked
b1-c1-s2-q05,Copy of Book 1.pdf,1,1,2,5,5,55,225,14–15,2,marked
b1-c1-s2-q06,Copy of Book 1.pdf,1,1,2,6,6,55,225,14–15,5,marked
b1-c1-s2-q07,Copy of Book 1.pdf,1,1,2,7,7,55,225,14–15,1,marked
b1-c1-s2-q08,Copy of Book 1.pdf,1,1,2,8,8,55,225,14–15,3,marked
b1-c1-s2-q09,Copy of Book 1.pdf,1,1,2,9,9,55,225,14–15,4,marked
b1-c1-s2-q10,Copy of Book 1.pdf,1,1,2,10,10,56,226,14–15,2,marked
b1-c1-s2-q11,Copy of Book 1.pdf,1,1,2,11,11,56,226,14–15,5,marked
b1-c1-s2-q12,Copy of Book 1.pdf,1,1,2,12,12,56,226,14–15,1,marked
b1-c1-s2-q13,Copy of Book 1.pdf,1,1,2,13,13,56,226,14–15,2,marked
b1-c1-s2-q14,Copy of Book 1.pdf,1,1,2,14,14,56,226,14–15,4,marked
b1-c1-s2-q15,Copy of Book 1.pdf,1,1,2,15,15,57,227,14–15,1,marked
b1-c1-s2-q16,Copy of Book 1.pdf,1,1,2,16,16,57,227,14–15,2,note
b1-c1-s2-q17,Copy of Book 1.pdf,1,1,2,17,17,57,227,14–15,3,disputed
b1-c1-s2-q18,Copy of Book 1.pdf,1,1,2,18,18,57,227,14–15,1,marked
