exam,id,book,chapter,set,question,sourceFile,pdfPage,answerPage,availability,keyPosition,graded,issue,topic
Exam 1,b1-c1-s1-q01,1,1,1,1,Copy of Book 1.pdf,46,216,Located in assigned book,1,True,,Purpose and selection
Exam 1,b1-c1-s1-q02,1,1,1,2,Copy of Book 1.pdf,46,216,Located in assigned book,2,True,,Purpose and selection
Exam 1,b1-c1-s1-q03,1,1,1,3,Copy of Book 1.pdf,47,217,Located in assigned book,3,True,,Material families
Exam 1,b1-c1-s1-q04,1,1,1,4,Copy of Book 1.pdf,47,217,Located in assigned book,4,True,,Purpose and selection
Exam 1,b1-c1-s1-q05,1,1,1,5,Copy of Book 1.pdf,47,217,Located in assigned book,5,False,The application/component alternatives are both reasonable descriptions. The book marks the component wording. Excluded from mastery scoring.,Purpose and selection
Exam 1,b1-c1-s1-q06,1,1,1,6,Copy of Book 1.pdf,47,217,Located in assigned book,5,True,,Purpose and selection
Exam 1,b1-c1-s1-q07,1,1,1,7,Copy of Book 1.pdf,47,217,Located in assigned book,2,True,,Materials in history
Exam 1,b1-c1-s1-q08,1,1,1,8,Copy of Book 1.pdf,48,218,Located in assigned book,1,True,,Materials in history
Exam 1,b1-c1-s1-q09,1,1,1,9,Copy of Book 1.pdf,48,218,Located in assigned book,3,True,,Materials in history
Exam 1,b1-c1-s1-q10,1,1,1,10,Copy of Book 1.pdf,48,218,Located in assigned book,4,True,,Materials in history
Exam 1,b1-c1-s1-q11,1,1,1,11,Copy of Book 1.pdf,48,218,Located in assigned book,5,True,,Materials in history
Exam 1,b1-c1-s1-q12,1,1,1,12,Copy of Book 1.pdf,49,219,Located in assigned book,2,True,,Implant requirements
Exam 1,b1-c1-s1-q13,1,1,1,13,Copy of Book 1.pdf,49,219,Located in assigned book,1,True,,Implant requirements
Exam 1,b1-c1-s1-q14,1,1,1,14,Copy of Book 1.pdf,49,219,Located in assigned book,2,True,,Implant requirements
Exam 1,b1-c1-s1-q15,1,1,1,15,Copy of Book 1.pdf,49,219,Located in assigned book,4,True,,Implant requirements
Exam 1,b1-c1-s1-q16,1,1,1,16,Copy of Book 1.pdf,50,220,Located in assigned book,5,True,,Purpose and selection
Exam 1,b1-c1-s1-q17,1,1,1,17,Copy of Book 1.pdf,50,220,Located in assigned book,1,True,,Purpose and selection
Exam 1,b1-c1-s1-q18,1,1,1,18,Copy of Book 1.pdf,50,220,Located in assigned book,3,True,,Purpose and selection
Exam 1,b1-c1-s1-q19,1,1,1,19,Copy of Book 1.pdf,50,220,Located in assigned book,4,True,,Material families
Exam 1,b1-c1-s1-q20,1,1,1,20,Copy of Book 1.pdf,50,220,Located in assigned book,5,True,,Purpose and selection
Exam 1,b1-c1-s1-q21,1,1,1,21,Copy of Book 1.pdf,51,221,Located in assigned book,1,True,,Processing
Exam 1,b1-c1-s1-q22,1,1,1,22,Copy of Book 1.pdf,51,221,Located in assigned book,5,True,,Processing
